new_value;old_value
detailed inspection using drilling resistance measurement;eingehende Untersuchung Bohrwiderstandsmessung
detailed inspection using pulling test;eingehende Untersuchung Zugversuch/Windreaktionsmessung
felling;Fällung
felling complete;
retain tree trunk;
extraneous vegetation;Baumfremder Bewuchs
restoration pruning of damaged trees with multiple epicormic branches or stems;Nachbehandlung geschädigter Bäume mit Ständerbildung
inspection and maintenance of cabling systems;Untersuchung und Wartung von Kronensicherungen
further inspection;weitere Inaugenscheinnahme
removal of trunk and basal sprouts;Entfernung von Stamm- und Stockaustrieben
reduction pruning (single branches, parts of the crown, crown);Einkürzung (einzelne Äste, Teile der Krone, Krone)
remarks for additional details;Sonstiges siehe Bemerkung
removement of oak processionary moth;Entfernung Eichenprozessionsspinner
tree protection on construction sites;Baumschutz auf Baustellen
protection against bark damage;Schutz vor Rindenschäden
stabilization of cracked trunk apexes and forks;Stabilisierung von aufgerissenen Stammköpfen und Vergabelungen
stabilization of cracked trunk apexes and forks;Stabilisierung von aufgerissenen Stammköpfen und Vergabelungen
amelioration of the root zone;Verbesserung des Wurzelbereichs
treatment of wounds;Behandlung von Wunden
immediate action on damaged crowns following unforeseeable events (e. g. tornado, ice breakage);Sofortmaßnahmen an geschädigten Baumkronen nach unvorhersehbaren Ereignissen (z.B. Tornado, Eisbruch)
immediate action on damaged crowns following unforeseeable events (e. g. tornado, ice breakage);Sofortmaßnahmen an geschädigten Baumkronen nach unvorhersehbaren Ereignissen (z.B. Tornado, Eisbruch)
tree supports, propping of branches;Baumstützen/Aststützen
topiary/architectural;Formschnitt
pollarding;Kopfbaumschnitt
barrier;Absperrung
coordination/consultation;Abstimmung/Rücksprache
coordination/consultation;Abstimmung/Rücksprache
crown not/only partially visible;Krone nicht/nur eingeschränkt einsehbar
trunk not/only partially accessible;Stamm nicht/nur eingeschränkt erreichbar
construction site;Baustelle
snow;Schnee
extraneous vegetation;Baumfremder Bewuchs
tree not accessible;Baum nicht erreichbar
inspection not/only partially feasible;Kontrolle nicht/nur eingeschränkt durchführbar
lower;geringer
higher;höher
unknown;unbekannt
grid;Gitter
lawn;Rasen
weed;Unkraut
bed;Beet
asphalt;Asphalt
open;offen
paving;Pflaster
sealed;versiegelt
water-bound path cover;wassergebundene Wegedecke
provided;gegeben
provided after measures;nach Maßnahme(n) gegeben
not assessed;nicht beurteilt
not provided;nicht gegeben
alternatively;alternativ
urgent;dringend (1 Woche)
normal;normal (3 Monate)
low;niedrig (6 Monate)
immediately;sofort (jetzt)
optional;optional
pruning wounds;Astungswunden
dead wood;Totholz
deadwood removal;Totholzentfernung
injuries;Verletzungen
root injuries;Wurzelverletzungen
deadwood removal;Totholzentfernung
pruning wounds;Astungswunden oder -fäulen
clearing;Freistellung
clearance pruning;Lichtraumprofilschnitt
bark damage;Rindenschäden
injuries;Verletzungen
clearance pruning (sidewalk);Lichtraumprofilschnitt (Fußweg)
clearance pruning (road);Lichtraumprofilschnitt (Straße)
clearance pruning (building);Lichtraumprofilschnitt (Gebäude)
clearance pruning (railway);Lichtraumprofilschnitt (Eisenbahn)
branch fracture;Astab- bzw. Ausbrüche
extraneous vegetation;Baumfremder Bewuchs
soil deposition;Bodenauftrag
formative pruning of young trees;Jungbaumpflege (Erziehungs- und Aufbauschnitt)
cracks;Risse
adventitious root;Adventiv-, Würgewurzeln
extraneous vegetation;Baumfremder Bewuchs
soil removal;Bodenabtrag
decay;Fäulen
crown maintenance/crown cleaning;Kronenpflege
soil compaction;Bodenverdichtung
cavity;Höhlungen
cavity;Höhlungen
crown cabling;Kronensicherung
clearance;Lichter Raum
removal of tree bindings and trunk protection material on young trees;Abbau von Baumverankerungen und Stammschutzmaterialien bei Jungbäumen
excavations/trenches;Baugruben/-gräben
pollarding spot;Kappungsstellen
fungi;Pilzbefall
bark damage;Rindenschäden
soil sealing;Bodenversiegelung
detailed inspection using acoustic tomography;eingehende Untersuchung Schalltomographie
compensatory growth;Kompensationswachstum
crown cabling;Kronensicherungen
clearance;Lichter Raum
felling;Fällung
decay;Fäulen
fungi;Pilzbefall
fungi;Pilzbefall
basal sprouts;Stockaustriebe
felling complete;Fällung komplett
retain tree trunk;Fällung mit Torso
extraneous vegetation;Baumfremder Bewuchs
cavity;Höhlungen
pests;Schadinsekten
trunk sprouts;Stammaustriebe
growth anomalies;Wuchsanomalien
soil heaving;Bodenaufwölbung
crown defects;Fehlentwicklungen in der Krone
restoration pruning of damaged trees with multiple epicormic branches or stems;Nachbehandlung geschädigter Bäume mit Ständerbildung
pests;Schadinsekten
twin stem;Zwiesel
soil saturation;Bodenvernässung
bark damage;Rindenschäden
cracks;Risse
trunk rot;Stockfäule
inspection and maintenance of cabling systems;Untersuchung und Wartung von Kronensicherungen
sap oozing;Ausfluss
soil cracks;Bodenrisse
further inspection;weitere Inaugenscheinnahme
wounds;Wunden
twin stem;Zwiesel
removal of trunk and basal sprouts;Entfernung von Stamm- und Stockaustrieben
groundwater lowering / flooding;Grundwasserabsenkung /-anstauungen
epicormic branches or stems;Ständer, Steiläste
growth anomalies;Wuchsanomalien
reduction pruning (single branches, parts of the crown, crown);Einkürzung (einzelne Äste, Teile der Krone, Krone)
compensatory growth;Kompensationswachstum
fungi;Pilzbefall
cracks;Astrisse
threaded bars, seals, drainage pipes;Gewindestangen, Plomben, Entwässerungsrohre
remarks for additional details;Sonstiges siehe Bemerkung
foliage (abnormalities, leaf diseases);Belaubung (Auffälligkeiten, Blattkrankheiten)
removement of oak processionary moth;Entfernung Eichenprozessionsspinner
pests;Schadinsekten
tree protection on construction sites;Baumschutz auf Baustellen
pests;Schadinsekten
inclination;Schrägstand
detailed inspection;eingehende Untersuchung
protection against bark damage;Schutz vor Rindenschäden
detailed inspection using drilling resistance measurement;eingehende Untersuchung Bohrwiderstandsmessung
stabilization of cracked trunk apexes and forks;Stabilisierung von aufgerissenen Stammköpfen und Vergabelungen
detailed inspection using pulling test;eingehende Untersuchung Zugversuch/Windreaktionsmessung
amelioration of the root zone;Verbesserung des Wurzelbereichs
treatment of wounds;Behandlung von Wunden
immediate action on damaged crowns following unforeseeable events (e. g. tornado, ice breakage);Sofortmaßnahmen an geschädigten Baumkronen nach unvorhersehbaren Ereignissen (z.B. Tornado, Eisbruch)
stabilization of cracked trunk apexes and forks;Stabilisierung von aufgerissenen Stammköpfen und Vergabelungen
tree supports, propping of branches;Baumstützen/Aststützen
topiary/architectural;Formschnitt
pollarding;Kopfbaumschnitt
immediate action on damaged crowns following unforeseeable events (e. g. tornado, ice breakage);Sofortmaßnahmen an geschädigten Baumkronen nach unvorhersehbaren Ereignissen (z.B. Tornado, Eisbruch)
barrier;Absperrung
coordination/consultation;Abstimmung/Rücksprache
coordination/consultation;Abstimmung/Rücksprache
