old_field;new_field
;measures_4_ own_team_or_subcontractor
;measures_4_ communication
;measures_4_ weather_suitable
;measures_4_ other_hazards
;measures_4_ double_certified_ppe
;measures_4_ rope_access_equipment_certified_available
;measures_4_ rescue_equipment_certified_available
;measures_4_ first_aid_kit_certified_available
;measures_4_ tools_sanitized
;measures_4_ task_discussed_and_team_assigned
;measures_4_ communication_agreed
;measures_4_ rescue_plan_discussed
;measures_4_ experience_sufficient_for_planned_work
;measures_4_ tree_and_site_safe_for_work
massnahme_optional;measures_5
;measures_5_urgency
massnahme_optional_bemerkung;measures_5_comment
massnahme_optional_zugang;measures_5_access
massnahme_optional_genehmigung;measures_5_approval
massnahme_optional_datum;measures_5_date
massnahme_optional_name;measures_5_name
massnahme_optional_bis;measures_5_complete_by
massnahme_optional_kosten;measures_5_costs
massnahme_optional_zeit;measures_5_time
;crown_cabling_5_further_details
;crown_cabling_5_aim
;crown_cabling_5_number_type
;measures_5_ supervisor
;measures_5_ mobile_network_reception
;measures_5_ attendees
;measures_5_ safety_measures_required
;measures_5_ own_team_or_subcontractor
;measures_5_ communication
;measures_5_ weather_suitable
;measures_5_ other_hazards
;measures_5_ double_certified_ppe
;measures_5_ rope_access_equipment_certified_available
;measures_5_ rescue_equipment_certified_available
;measures_5_ first_aid_kit_certified_available
;measures_5_ tools_sanitized
;measures_5_ task_discussed_and_team_assigned
;measures_5_ communication_agreed
;measures_5_ rescue_plan_discussed
;measures_5_ experience_sufficient_for_planned_work
;measures_5_ tree_and_site_safe_for_work
baumfoto;doc_01
;doc_01_comment
baumfoto2;doc_02
;doc_02_comment
baumfoto3;doc_03
;doc_03_comment
baumfoto4;doc_04
;doc_04_comment
baumfoto5;doc_05
;doc_05_comment
fotokontrolle;doc_06
fotokontrolle_bemerkung;doc_06_comment
fotokontrolle2;doc_07
fotokontrolle2_bemerkung;doc_07_comment
fotokontrolle3;doc_08
fotokontrolle3_bemerkung;doc_08_comment
fotokontrolle4;doc_09
fotokontrolle4_bemerkung;doc_09_comment
fotokontrolle5;doc_10
fotokontrolle5_bemerkung;doc_10_comment
habitat_struktur_krone;habitat_structure_canopy
habitat_art_krone;habitat_species_canopy
habitat_bemerkung_krone;habitat_comment_canopy
habitat_struktur_stamm;habitat_structure_trunk
habitat_art_stamm;habitat_species_trunk
habitat_bemerkung_stamm;habitat_comment_trunk
habitat_betroffen;habitat_affected
habitat_vermeidung;habitat_avoidance
habitat_minderung;habitat_mitigation
habitat_ersatz;habitat_replacement
datum_aenderung;date_change
